State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Maine,2020,1340825.0,44.8,656628.0,684197.0,1256030.0,18635.0,15270.0,23143.0,1087870.0,48139.0,1276837.0,59489.0,33774.0,144384.0,1304038.0,28442.0,706220.0,746793.0,414939.0,154612.0,198000.0,873.0,14336.0,177242.0,2.29,14778490.0,572486.0,3591.0,24233.0,53686.0,1325025.0,13270.0,266859.0,34420.0,53003.0,982385.0,5287.0,259298.0,128316.0,199746.0,85892.0,13371.0
Georgia,2020,10516579.0,36.9,5113936.0,5402643.0,6020265.0,3319844.0,434603.0,1013057.0,7958153.0,1068027.0,9864494.0,61224.0,32427.0,1461572.0,10238369.0,291506.0,5254983.0,4329675.0,2453159.0,1377105.0,190200.0,1042.0,114436.0,499411.0,2.68,128631090.0,4222823.0,93987.0,71450.0,376570.0,10321846.0,196271.0,2658741.0,507870.0,628375.0,6996425.0,100517.0,1598788.0,1009783.0,1377311.0,619111.0,98699.0
Alabama,2020,4893186.0,39.2,2365734.0,2527452.0,3302834.0,1301319.0,67909.0,212951.0,3785626.0,168053.0,4599254.0,52035.0,28934.0,762642.0,4771614.0,125343.0,2259980.0,2270398.0,1306505.0,581999.0,149600.0,811.0,42640.0,381894.0,2.53,50359400.0,1953038.0,6960.0,23265.0,92836.0,4813429.0,36714.0,1160135.0,190423.0,224992.0,3344006.0,41430.0,839252.0,512048.0,546674.0,239746.0,38455.0
New Hampshire,2020,1355244.0,43.0,671802.0,683442.0,1246602.0,21045.0,36581.0,52792.0,1095208.0,82622.0,1291567.0,77923.0,41234.0,97418.0,1312770.0,28479.0,761007.0,638611.0,383839.0,155277.0,272300.0,1145.0,14315.0,99495.0,2.44,17972435.0,623911.0,5646.0,18117.0,59287.0,1338372.0,7876.0,276273.0,30374.0,41007.0,971162.0,6840.0,225206.0,115150.0,223814.0,106537.0,14941.0
Oregon,2020,4176346.0,39.5,2070627.0,2105719.0,3449081.0,79117.0,187801.0,552279.0,3305619.0,409867.0,3948032.0,65667.0,35393.0,506558.0,4096744.0,116297.0,2134435.0,1788855.0,1031006.0,611573.0,336700.0,1173.0,54209.0,146276.0,2.49,42797590.0,1578838.0,79221.0,70406.0,186004.0,4135531.0,32250.0,918429.0,103712.0,134341.0,2944830.0,32457.0,539568.0,499970.0,627360.0,266932.0,51291.0
Wyoming,2020,581348.0,38.0,296280.0,285068.0,525246.0,5079.0,4892.0,58854.0,443189.0,19274.0,545912.0,65304.0,34415.0,61006.0,566858.0,13222.0,303956.0,278495.0,165530.0,67701.0,228000.0,853.0,5332.0,45264.0,2.43,4791515.0,248870.0,2812.0,10499.0,17424.0,571005.0,12583.0,141959.0,24446.0,27921.0,392819.0,2291.0,91988.0,67529.0,69396.0,30666.0,4714.0
Arizona,2020,7174064.0,37.9,3564979.0,3609085.0,5292498.0,325105.0,239190.0,2260690.0,5513138.0,947611.0,6742840.0,61529.0,32340.0,990528.0,7012999.0,199358.0,3436482.0,3040595.0,1727176.0,916254.0,242000.0,1097.0,76093.0,397165.0,2.65,74646265.0,2709243.0,50759.0,58666.0,282334.0,7065326.0,148596.0,1739980.0,260701.0,327904.0,4846056.0,75681.0,955999.0,839303.0,911228.0,401110.0,65142.0
Louisiana,2020,4664616.0,37.2,2276932.0,2387684.0,2856904.0,1500633.0,80930.0,243372.0,3547913.0,193041.0,4359716.0,50800.0,29522.0,845230.0,4532187.0,142088.0,2185171.0,2074664.0,1167628.0,584328.0,168100.0,876.0,44954.0,322708.0,2.59,49507695.0,1821477.0,21868.0,36886.0,85038.0,4556953.0,43264.0,1154339.0,154994.0,193417.0,3139520.0,39383.0,873459.0,485581.0,499998.0,195679.0,30721.0
Indiana,2020,6696893.0,37.8,3300350.0,3396543.0,5510354.0,631923.0,158705.0,475475.0,5122060.0,355838.0,6278766.0,58235.0,30693.0,838149.0,6491632.0,159865.0,3383365.0,2903720.0,1808293.0,794477.0,148900.0,844.0,64594.0,300950.0,2.5,71270140.0,2850534.0,27808.0,66390.0,172758.0,6597701.0,105012.0,1664343.0,188972.0,228966.0,4466180.0,46831.0,1250585.0,595563.0,770901.0,325852.0,48601.0
Idaho,2020,1754367.0,36.6,879763.0,874604.0,1550979.0,11536.0,24501.0,222967.0,1305219.0,103021.0,1640035.0,58915.0,29494.0,205676.0,1722972.0,35955.0,858590.0,737411.0,459428.0,189871.0,235600.0,887.0,14622.0,88112.0,2.66,15752460.0,703421.0,5142.0,20055.0,62558.0,1732106.0,24697.0,469258.0,68045.0,85546.0,1145344.0,10572.0,245665.0,201750.0,221092.0,74253.0,14868.0
Connecticut,2020,3570549.0,41.1,1741688.0,1828861.0,2649994.0,382161.0,163262.0,587212.0,2825579.0,521384.0,3387841.0,79855.0,45668.0,339156.0,3466935.0,116234.0,1933145.0,1521199.0,915408.0,470029.0,279700.0,1201.0,40487.0,135762.0,2.5,43838220.0,1494737.0,77433.0,47218.0,135763.0,3520172.0,22469.0,786563.0,63000.0,89620.0,2489205.0,29120.0,578537.0,286192.0,551459.0,323696.0,43127.0
Hawaii,2020,1420074.0,39.4,712250.0,707824.0,342923.0,26717.0,534519.0,152566.0,1074120.0,259672.0,1331895.0,83173.0,37013.0,127971.0,1381577.0,32187.0,750350.0,546571.0,282037.0,185895.0,636400.0,1651.0,15800.0,78639.0,2.94,17794980.0,565802.0,38177.0,32330.0,40786.0,1365172.0,8509.0,317280.0,19594.0,23630.0,996423.0,10868.0,246153.0,148716.0,218679.0,77639.0,15152.0
Illinois,2020,12716164.0,38.3,6247083.0,6469081.0,8874067.0,1796660.0,709567.0,2190696.0,9842595.0,1773067.0,11960646.0,68428.0,37306.0,1488670.0,12418504.0,395142.0,6650033.0,5373385.0,3237778.0,1646283.0,202100.0,1038.0,134257.0,489324.0,2.54,164929595.0,4862240.0,539825.0,173791.0,442549.0,12536614.0,94660.0,3023805.0,319212.0,423643.0,8686700.0,121300.0,1908111.0,1197144.0,1875011.0,884787.0,119321.0
Massachusetts,2020,6873003.0,39.6,3335992.0,3537011.0,5261787.0,513369.0,466044.0,828140.0,5505444.0,1158909.0,6514973.0,84385.0,45555.0,653454.0,6637329.0,193769.0,3815083.0,2913009.0,1654892.0,992088.0,398800.0,1336.0,92100.0,266029.0,2.5,97551415.0,2668095.0,337729.0,170570.0,292852.0,6800682.0,21269.0,1464881.0,76003.0,84441.0,4815331.0,71939.0,997808.0,500557.0,1181453.0,675372.0,140175.0
Texas,2020,28635442.0,34.8,14221720.0,14413722.0,19805623.0,3464424.0,1415664.0,11294257.0,21159179.0,4822952.0,26638435.0,63826.0,32177.0,3984260.0,28013446.0,752884.0,14309066.0,11112975.0,6168808.0,3737262.0,187200.0,1082.0,320088.0,1206905.0,2.83,329257250.0,11792113.0,166825.0,203246.0,936065.0,28169961.0,868589.0,7787420.0,1810811.0,2133460.0,18449851.0,404398.0,3744324.0,2806754.0,3671085.0,1454717.0,218420.0
Montana,2020,1061705.0,40.1,534128.0,527577.0,932157.0,5919.0,8664.0,41501.0,830071.0,23321.0,1000367.0,56539.0,32463.0,132476.0,1036490.0,22541.0,545629.0,514956.0,298728.0,137320.0,244900.0,836.0,11037.0,78908.0,2.37,8646040.0,432453.0,3729.0,23670.0,41108.0,1046670.0,14312.0,240362.0,30084.0,42748.0,734688.0,3014.0,171656.0,121683.0,163183.0,54749.0,10095.0
Nebraska,2020,1923826.0,36.6,959677.0,964149.0,1641256.0,91896.0,47944.0,214952.0,1442846.0,142616.0,1793084.0,63015.0,33205.0,193820.0,1869467.0,35114.0,1040763.0,844248.0,507291.0,259372.0,164000.0,857.0,20528.0,77585.0,2.44,17542745.0,885334.0,6256.0,24840.0,59472.0,1894327.0,26209.0,500238.0,58302.0,68573.0,1259540.0,16736.0,280616.0,191099.0,269312.0,99686.0,16717.0
Ohio,2020,11675275.0,39.5,5721796.0,5953479.0,9394878.0,1442655.0,268527.0,459939.0,9071609.0,542704.0,10982292.0,58116.0,32465.0,1546011.0,11350378.0,313829.0,5927187.0,5217090.0,3128172.0,1589054.0,151400.0,825.0,125398.0,499864.0,2.41,122554945.0,4899302.0,79191.0,118884.0,332962.0,11501751.0,121960.0,2747909.0,260423.0,316575.0,8014966.0,73756.0,2320277.0,1077493.0,1438177.0,646178.0,91061.0
Colorado,2020,5684926.0,36.9,2862153.0,2822773.0,4634305.0,235692.0,181733.0,1231126.0,4389931.0,539514.0,5353987.0,75231.0,39545.0,544232.0,5563823.0,142722.0,3115754.0,2361372.0,1415324.0,722078.0,369900.0,1335.0,68465.0,223970.0,2.6,67224980.0,2378033.0,82173.0,81786.0,315209.0,5588760.0,64352.0,1331681.0,165567.0,200504.0,3900754.0,45328.0,671575.0,569664.0,1015989.0,445484.0,67777.0
New Jersey,2020,8885418.0,40.0,4341123.0,4544295.0,5820147.0,1189681.0,857873.0,1815078.0,6921291.0,2012872.0,8367069.0,85245.0,44153.0,842704.0,8713792.0,271795.0,4709106.0,3628732.0,2094427.0,1177627.0,343500.0,1368.0,99265.0,356678.0,2.66,128475610.0,3352806.0,466091.0,113944.0,316373.0,8780160.0,81278.0,2059449.0,237424.0,329602.0,6169501.0,89062.0,1493615.0,679730.0,1530150.0,713029.0,101656.0
Maryland,2020,6037624.0,38.8,2925644.0,3111980.0,3275048.0,1803128.0,384429.0,619418.0,4664777.0,916067.0,5674006.0,87063.0,43352.0,531553.0,5894835.0,167571.0,3275954.0,2459650.0,1495828.0,734699.0,325400.0,1415.0,62036.0,229123.0,2.64,92535455.0,2459180.0,226646.0,64877.0,247223.0,5938200.0,49465.0,1417908.0,128299.0,165075.0,4164698.0,59515.0,878236.0,527118.0,907523.0,553634.0,111789.0
